229.3569 	EXP 	Sound  started
230.1646 	EXP 	Sound  stopped
230.1647 	EXP 	Sound  started
230.9726 	EXP 	Sound  stopped
230.9726 	EXP 	Sound  started
231.7807 	EXP 	Sound  stopped
231.7807 	EXP 	Sound  started
232.5885 	EXP 	Sound  stopped
232.5885 	EXP 	Sound  started
233.3954 	EXP 	Sound  stopped
233.3954 	EXP 	Sound  started
234.2025 	EXP 	Sound  stopped
234.2025 	EXP 	Sound  started
238.0514 	EXP 	window1: mouseVisible = True
